name
Technical Brutal Death Metal
Pagan Black
Pagan Folk Metal
Atmospheric Gothic
Death 'n' Roll
Experimental
Atmospheric Doom Metal
Death Metal with Folk influences
Epic Heavy
Progressive Melodic Heavy Metal
Nu-Metal
Technical Thrash Metal
Progressive Power
Melodic Progressive Metal
Blackened Death Metal
Electronic Metal
Avant-garde Doom Metal
Neoclassical Power Metal
Symphonic Heavy Metal
Progressive Melodic Death
Epic Symphonic Metal
Melodic Gothic
Atmospheric Sludge Metal
Post-Hardcore
Epic Power Metal
Melodic Dark
Symphonic Death
Epic Folk Metal
Atmospheric Death
Dark Metal
Blackened Stoner
Symphonic Thrash Metal
Thrash Metal with Rock 'n' Roll influences
Symphonic Folk Metal
Alternative
Industrial Melodic Death Metal
Psychedelic Black Metal
Melodic Groove Metal
Melodic Industrial Death
Atmospheric
Melodic Progressive
Folk Metal with Doom influences
Funeral Doom
Progressive Folk
Neoclassical Heavy Metal
Shred
Symphonic Rock
Power Metal with Eastern Folk influences
Symphonic Melodic Death Metal
Industrial Black
Avant-garde Post-Hardcore
Melodic Gothic Metal
Celtic Folk
Shoegaze
Post-Punk
Gothic Neoclassical
Industrial Doom
Southern
Progressive Groove Metal
Atmospheric Black
Gothic Industrial
Avant-Garde Black Metal
Industrial Death
Drone
Industrial Thrash
Depressive Rock
Gothic Black Metal
Symphonic Gothic Metal
Progressive Black Metal
Progressive Death
Gothic Rock
Symphonic Folk
Progressive Thrash Metal with Death
Black influences
Symphonic Black Metal with medieval influences
Orchestral
Progressive Technical Death Metal
Medieval Metal
Melodic Deathcore
Epic Melodic Death Metal
Medieval
Folk Rock
Melodic Speed
Progressive Symphonic Metal
Psychedelic Doom
Atmospheric Sludge Metal with Hardcore Influences
Viking Black Metal
Progressive Death Metal with Punk influences
Progressive Doom
Power A Cappella
Blackened Melodic Death Metal
Melodic Atmospheric Metal
Psychedelic Rock
Atmospheric Death Metal with Industrial Influences
Atmospheric Post-Black Metal
Epic Black
Power Metal with Thrash Metal Elements
Black Metal  Progressive Black
Progressive Rock
Middle-Eastern Folk
Progressive Heavy Metal
Avant-garde Metal
Progressive Gothic Metal
Progressive Thrash
Experimental Extreme Metal
Epic Folk
Symphonic Doom
Melodic Speed Metal
Experimental Rock
Blackened Punk Rock
Celtic Black Metal
Melodic Death Metal with Middle Eastern influences
Raw Black Metal
Depressive Black
Noisecore
Gothic Doom Metal
Epic Heavy Metal
Blackened Death
Progressive Post-Black Metal
Epic Symphonic Power Metal
Industrial Groove Metal
Progressive Deathcore
Symphonic Electronic Metal
Folk Power Metal
Psychedelic Stoner
Heavy Progressive Metal
Psychedelic Heavy Metal
Trance
Electronic Metalcore
Symphonic Gothic Metal with Folk Influences
Epic Black Metal with Folk Influences
Black Metal  - Pagan
Stoner Metal
Dark
Death Metal (1989-1995
Avant-garde Death
Heavy Metal (early
Progressive Metalcore
Atmospheric Death Metal with Electronic influences
Alternative Rock
Avant-garde Progressive Metal
Progressive Extreme Metal
Melodic Doom Metal
Progressive Heavy
Technical Black Metal
Black Metal (early
Experimental Black Metal
Ambient Folk
Blackened Progressive Metal
Blackened Folk
Gothic Metal with Doom influences
Avant-garde Extreme Metal
Avant-garde Rock
Experimental Black
Black Viking Metal
Death Metal with Electronic Influences
Brutal Death
Doom Metal with Death Metal Influences
Post-Black
Experimental Doom Metal
Trip Hop
Atmospheric Folk
Symphonic Metal with Electro
Industrial influences
Extreme Metal
Symphonic Progressive Metal
Crust Punk
Experimental Death
Technical Death Metal with Jazz influences
Symphonic Industrial Metal
Brutal Deathcore
Technical Melodic Death Metal
Viking Death Metal
Martial Industrial
Glam Rock
Avant-garde Atmospheric Black Metal
Yiddish Folk Metal
Experimental Heavy Metal
Melodic Neoclassical Power Metal
Technical Thrash
Blues
Power Metal with Electronic Influences
Power Metal with Progressive influences
Technical Groove
Black Metal  - Melodic Death Metal
Gothic Metal with electronic elements
Melodic Death Metal with Symphonic Influences
Blackened Doom Metal
Melodic Symphonic Metal
Progressive Metal with Middle Eastern Folk Influences
Thrash Metal with Folk influences
Brutal Death Metal (early
NWOBHM
Progressive Post-Rock
Hardcore Punk
Classical
Experimental Industrial
Industrial Rock
Experimental Brutal Death Metal
Thrash Metal with Hardcore Elements
Symphonic Blackened Death Metal
Metalcore with Trance elements
Death Metal with Doom influences
Symphonic Groove Metal
Progressive Psychedelic Doom
Operatic Symphonic Metal
Melodic Metalcore
Jazz Fusion
Djent
Crossover Thrash Metal
Thrash Metal with Jazz and Progressive Influences
Blackened Thrash Metal
Metalcore with Grindcore influences
Technical Grindcore
Blackened Sludge
Mathcore
Heavy Metal with Doom Metal
Rock influences
Heavy Metal with Black Metal influences
Punk
Progressive Groove
Southern Metal
Blackened Power Metal
Technical Melodic Thrash
Blackened Deathcore
Soft Rock
Depressive
Neue Deutsche H„rte
Brutal Death Metal with Black
Thrash Influences
Fusion
New Age
Atmospheric Deathcore
Psychedelic Sludge Metal
Blackened Sludge Metal
New Wave
Synth Punk
Industrial Thrash Metal
Noise
Neoclassical Death Metal
Pagan Folk Black Metal
Glam
Blackened Grindcore
Doom Metal with Crust influences
Progressive Technical Thrash
Metalcore with Death Metal Influences
Nu-Metal with tribal influences
Southern Rock
Experimental Sludge
Atmospheric Gothic Metal
Epic Progressive Power Metal
Blackened Funeral Doom Metal
Crust with Heavy
Powerviolence
Epic Progressive
Melodic Technical Deathcore
